A man speaks with a low sad expression, keeping his gaze forward and steady. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A teen boy talks with soft articulation, holding a high sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_intense
A teen girl speaks with steady voice, keeping a strong sad look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_intense
A male teacher talks with gentle voice, presenting a very strong sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_intense
A female teacher speaks in a calm rhythm, under a high-energy sad demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_intense
A male doctor talks in a confident rhythm, showing a amplified sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_intense
A female doctor delivers a short statement, paired with a heightened sad look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_intense
A male engineer reads a line aloud, featuring a high sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_intense
A female engineer recites a brief line, with a strong sad demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_intense
A male student speaks in brief clauses, keeping a very strong sad look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_intense
A female student talks in brief clauses, maintaining a high-energy sad expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_intense
A male athlete speaks as if presenting, marked by a amplified sad demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_intense
